NgenusNspec	PgenusPspec
Xiphinema americanum	Vaccinium corymbosum L.
Xiphinema americanum	Vaccinium corymbosum L. X V. darrowi
Xiphinema americanum	Vaccinium sp. L.
Xiphinema americanum	Viburnum sp. L.
Xiphinema americanum	Vicia sp. L.
Xiphinema americanum	Vigna unguiculata Van Eselt. ex Verdc.; Vigna sinensis
Xiphinema americanum	Vitis berlandieri Planch. X V. riparia Michx.
Xiphinema americanum	Vitis champinii
Xiphinema americanum	Vitis riparia X V. rupestris
Xiphinema americanum	Vitis solonis X othello 1613
Xiphinema americanum	Vitis sp. L.
Xiphinema americanum	Vitis vinifera L.
Xiphinema americanum	Yucca sp. L.
Xiphinema americanum	Zea mays L.
Xiphinema americanum	Zingiber sp. Boehmer.
Xiphinema americanum	Eucalyptus tereticornis Sm.
Xiphinema americanum	Fagus grandifolia J.F. Ehrh.
Xiphinema americanum	Festuca elatior L.
Xiphinema americanum	Festuca rubra L.
Xiphinema americanum	Ficus carica L.
Xiphinema americanum	Ficus sp. L.
Xiphinema americanum	Abies balsamea Mill.
Xiphinema americanum	Abies sp. Mill.
Xiphinema americanum	Acer negundo L.
Xiphinema americanum	Acer saccharinum L.
Xiphinema americanum	Acer sp. L.
Xiphinema americanum	Agapanthus sp. L'Her
Xiphinema americanum	Agave sp. L.
Xiphinema americanum	Agropyron cristatum (L.) Gaertn.
Xiphinema americanum	Agropyron cristatum (L.) Gaertn. X A. desertorum Fisch. Ex Link
Xiphinema americanum	Agropyron desertorum Shultes
Xiphinema americanum	Agropyron smithii Rydb.
Xiphinema americanum	Allium cepa L.
Xiphinema americanum	Allium sativum L.
Xiphinema americanum	Ambrosia sp. L.
Xiphinema americanum	Anthurium sp. Schott.
Xiphinema americanum	Arachis hypogaea L.
Xiphinema americanum	Aralia sp. L.
Xiphinema americanum	Arctostaphylos sp. Adans.
Xiphinema americanum	Armoracia rusticana Gilib.
Xiphinema americanum	Avena nuda L.
Xiphinema americanum	Avena sativa L.
Xiphinema americanum	Baccharis sp. L.
Xiphinema americanum	Bambusa sp. Schreber.
Xiphinema americanum	Begonia sp.
Xiphinema americanum	Beta vulgaris L.
Xiphinema americanum	Betula alba L.
Xiphinema americanum	Bougainvillea sp. Comm. ex Juss.
Xiphinema americanum	Brassica oleracea Mill.
Xiphinema americanum	Buxus sempervirens L.
Xiphinema americanum	Cactaceae sp. Juss.
Xiphinema americanum	Calendula sp. L.
Xiphinema americanum	Camellia japonica L.
Xiphinema americanum	Camellia sp. L.
Xiphinema americanum	Canna sp. L.
Xiphinema americanum	Capsicum frutescens L.
Xiphinema americanum	Carissa grandiflora A. DC.
Xiphinema americanum	Carissa sp. L.
Xiphinema americanum	Carya illinoinensis Koch.
Xiphinema americanum	Casimiroa sp. Llave.
Xiphinema americanum	Ceanothus sp. L.
Xiphinema americanum	Cedrus sp. Trew.
Xiphinema americanum	Celosia sp. L.
Xiphinema americanum	Ceratonia siliqua L.
Xiphinema americanum	Ceratonia sp. L.
Xiphinema americanum	Chamaecyparis sp. Spach
Xiphinema americanum	Chrysanthemum maximum Ramond.
Xiphinema americanum	Chrysanthemum sp. L.
Xiphinema americanum	Cicer arietinum L.
Xiphinema americanum	Cichorium intybus L.
Xiphinema americanum	Citrus aurantium L.
Xiphinema americanum	Citrus limon Burm.
Xiphinema americanum	Citrus reticulata Blanco
Xiphinema americanum	Citrus sinensis (L.) Osbeck
Xiphinema americanum	Citrus sp.
Xiphinema americanum	Citrus X paradisi
Xiphinema americanum	Cornus cerisea L.; Cornus stolonifera
Xiphinema americanum	Cornus florida L.
Xiphinema americanum	Cotoneaster sp. Medicus
Xiphinema americanum	Crassula sp. L.
Xiphinema americanum	Crataegus sp. L.
Xiphinema americanum	Cucumis melo Naud.
Xiphinema americanum	Cucurbita sp. L.
Xiphinema americanum	Cupressus macrocarpa Hartweg.
Xiphinema americanum	Cupressus sp. L.
Xiphinema americanum	Cydonia sp. Mill.
Xiphinema americanum	Cynara scolymus L.
Xiphinema americanum	Cynodon dactylon Pers.
Xiphinema americanum	Dactylis glomerata L.
Xiphinema americanum	Dahlia sp.
Xiphinema americanum	Daucus carota L.
Xiphinema americanum	Dichondra sp. J. R. Forst. & G. Forst.
Xiphinema americanum	Digitaria decumbens Stent.
Xiphinema americanum	Diospyros sp. L.
Xiphinema americanum	Dipsacus sp. L.
Xiphinema americanum	Elaeagnus sp. L.
Xiphinema americanum	Elymus wawawaiensis
Xiphinema americanum	Elytrigia repens (L.) Nevski X Pseudoroegneria spicata (Pursh) Love
Xiphinema americanum	Epigaea repens L.
Xiphinema americanum	Equisetum sp. L.
Xiphinema americanum	Eriobotrya sp. Lindl.
Xiphinema americanum	Escallonia sp. Mutis
Xiphinema americanum	Eucalyptus sp. L'Her
Xiphinema americanum	Fragaria chiloensis Duchesne
Xiphinema americanum	Fragaria sp. L.
Xiphinema americanum	Fragaria vesca L.
Xiphinema americanum	Fragaria X ananassa Duchesne ex Rozier
Xiphinema americanum	Fraxinus sp. L.
Xiphinema americanum	Fuchsia sp. L.
Xiphinema americanum	Gardenia sp. Ellis
Xiphinema americanum	Gazania sp. Gaertn.
Xiphinema americanum	Gerbera sp. L.
Xiphinema americanum	Gladiolus sp. L.
Xiphinema americanum	Gleditsia sp. L.
Xiphinema americanum	Gossypium hirsutum L.
Xiphinema americanum	Grewia asiatica L.
Xiphinema americanum	Hedera canariensis Willd.
Xiphinema americanum	Hedera sp. L.
Xiphinema americanum	Helianthus annuus L.
Xiphinema americanum	Hibiscus sp.
Xiphinema americanum	Hordeum vulgare L.
Xiphinema americanum	Humulus lupulus L.
Xiphinema americanum	Hydrangea sp.
Xiphinema americanum	Ilex sp. L.
Xiphinema americanum	Indigofera hirsuta L.
Xiphinema americanum	Iris sp. L.
Xiphinema americanum	Jasminum sp. L.
Xiphinema americanum	Juglans hindsii (Jepson) R.E.Smith
Xiphinema americanum	Juglans sp.
Xiphinema americanum	Juniperus monosperma Sarg.
Xiphinema americanum	Juniperus sp. L.
Xiphinema americanum	Lactuca sativa L.
Xiphinema americanum	Lathyrus odoratus L.
Xiphinema americanum	Ligustrum sp. L.
Xiphinema americanum	Lilium sp. L.
Xiphinema americanum	Liquidambar sp. L.
Xiphinema americanum	Litchi chinensis Sonn.
